,b1,b2,error,s,significance,vor_point,vor_region,total_sig,lag_sig,update,vor_label
675,0.0199675415933,0.0,0.15,0.000754523847718,0.00362670633539,12,49,2.49203450829,2.49203450829,0.0,101
676,0.000192814404727,0.0,0.15,0.00114373129327,0.00362392616292,885,174,2.49204541177,2.49203450829,1.0,101
677,0.00305462931283,0.0,0.15,0.000612761476077,0.00361566779988,774,767,2.49204543861,2.49204541177,1.0,101
678,0.00645314867142,0.0538549534976,0.223825474706,0.00119915057439,0.00359168899039,160,245,2.49204543861,2.49204543861,0.0,102
679,0.021400216734,0.0,0.15,0.000755737128202,0.0035753297498,140,457,2.49204709524,2.49204543861,1.0,102
680,0.000709958781954,0.0,0.15,0.000681195699144,0.00353925301961,831,165,2.49204709524,2.49204709524,0.0,103
681,0.00206637219526,0.0,0.15,0.000599300605245,0.00351776057674,842,201,2.49205225241,2.49204709524,1.0,103
682,0.00702107019242,0.0,0.15,0.00061734468909,0.00350425878393,469,718,2.49206035179,2.49205225241,1.0,103
683,0.000219189038035,0.0,0.15,0.00100039679091,0.00347622892182,35,36,2.4920793982,2.49206035179,1.0,103
684,0.00019827055803,0.0,0.15,0.00104952871334,0.00346424522452,608,835,2.49211433477,2.4920793982,1.0,103
685,0.0083973845467,0.0435542054474,0.210988077579,0.0010777276475,0.00345254019557,138,264,2.49211433477,2.49211433477,0.0,104
686,0.000264960399363,0.0,0.15,0.000895226490684,0.00343132027197,356,236,2.49211754341,2.49211433477,1.0,104
687,0.0031992073491,0.0439741946757,0.233267411178,0.00109446921851,0.00341370036173,53,315,2.49211754341,2.49211754341,0.0,105
688,0.0,0.0,0.0,5.02352986587e-06,0.00340375168102,923,185,2.49211754341,2.49211754341,0.0,106
689,0.0014485353604,0.0,0.15,0.000587273505516,0.00338756954213,534,567,2.49211754341,2.49211754341,0.0,107
690,0.00177540024742,0.0,0.15,0.000579024781473,0.0033858492793,841,206,2.49212163305,2.49211754341,1.0,107
691,0.000155019908561,0.0,0.15,0.00115931592882,0.00337054138898,207,51,2.49213981903,2.49212163305,1.0,107
692,0.00278934292146,0.0,0.15,0.000564708374441,0.0033469708383,393,233,2.49215375878,2.49213981903,1.0,107
693,0.000184773743968,0.0,0.15,0.00100427551661,0.00328444710639,645,509,2.4921815864,2.49215375878,1.0,107
694,0.00620044056996,0.115228563547,0.23735804491,0.00138583383523,0.00327869188921,60,217,2.4921815864,2.4921815864,0.0,108
695,0.00703011972655,0.0676417998038,0.226903198333,0.00116522610188,0.00326867769979,25,886,2.49218246992,2.4921815864,1.0,108
696,0.0,0.0,0.0,4.70052464152e-06,0.00323158485624,97,26,2.49218246992,2.49218246992,0.0,109
697,0.000147576851305,0.0,0.15,0.00110002746806,0.0032025178997,731,488,2.49218246992,2.49218246992,0.0,110
698,0.00353727501351,0.0,0.15,0.000538865628187,0.00319339670008,198,757,2.49219460029,2.49218246992,1.0,110
699,0.00474176963325,0.0,0.15,0.0005359161878,0.00314159442474,416,344,2.49220386137,2.49219460029,1.0,110
700,0.000190481747268,0.0,0.15,0.000864211120643,0.00301038172452,492,546,2.49220386137,2.49220386137,0.0,111
701,0.00177724647801,0.00681404583156,0.200696783588,0.000676944619045,0.00299175592394,812,925,2.49220931964,2.49220386137,1.0,111
702,0.000149953586515,0.0,0.15,0.000972124515101,0.00298289866079,499,853,2.49221325171,2.49220931964,1.0,111
703,7.28846353013e-05,0.0,0.15,0.0015981142642,0.0029763309476,216,877,2.49223486217,2.49221325171,1.0,111
704,0.00160732225049,0.0,0.15,0.000504370313138,0.00296814085225,135,229,2.49228465329,2.49223486217,1.0,111
705,0.00715350178052,0.0740867108107,0.228368847386,0.00108673563227,0.00296631394399,1,2,2.49228465329,2.49228465329,0.0,112
706,0.00016537202464,0.0,0.15,0.000893089396413,0.00292830638145,597,519,2.49228699902,2.49228465329,1.0,112
707,0.000130362663185,0.0,0.15,0.00102439487819,0.00292317449277,806,198,2.49228782363,2.49228699902,1.0,112
708,0.00193761556875,0.0747980996966,0.243716806652,0.001078030793,0.00291202173108,272,257,2.49228782363,2.49228782363,0.0,113
